Type	Label	Description	German Text	If	Learn	Goto	Accuracy	Mode
output start	output_start	The first thing HitchBOTT will say.	((Hallo))! Ich bin HitchBOTT. ((instructions1)) ((instructions2))		inCar=0 and silence=0			
input	base_greeting	User says hello.	((!?qo)) ((HitchBOTT)) ((Hallo))				20	
			((!?qo)) (Hallo)) ((HitchBOTT))				20	
			((!?qo)) (Hallo))				20	
input	base_what		((!?qo)) was ((bist_du))? / ((!?qo)) wer ~ ((bist_du))? /((!?qo)) was soll das ?				20	
input	base_anything		bin / sind				0	
input	base_whatifno		((!?qo)) (?und) ((?was_passiert)) wenn ((ich1)) dich nicht mitnehme(?n)? / ((was_passiert)) wenn ((ich1)) nein sage(?n)?	inCar = 0			20	
input	base_willnottake		"((!?qo)) ((Ich1)) nehme(?n) ((Dich)) nicht mit / ((!?qo)) ((Ich1)) fahre(?n) nicht dorthin / ((!?qo)) ((Ich1)) fahre(?n) nicht in diese Richtung / ((!?qo)) ((ich1)) kann ((Dich)) nicht mitnehmen / ((!?qo)) wir können ((dich)) nicht mitnehmen / ((!?qo)) ((ich1)) kann ((dich)) nicht aufheben / ((!?qo))  ((Du1)) kommst nicht in ((mein)) ((Auto)) / ((!?qo)) Nee, Danke / Das pass ((mir1)) nicht"	inCar = 0		base_willnottake	20	
input	base_willtake		((Ja_Antwort))	inCar = 0		base_nowincar	20	
input	base_incar		((!?qo)) ((Du1)) bist im ((Auto)). / ((!?qo)) ((Du1)) bist drin. / ((!?qo)) ((Du1)) sitzt im ((Auto)). / ((!?qo)) jetzt kann es losgehen. / ((?!qo)) Jetzt geht es los.	inCar = 0		base_nowincar	20	
input	school_first	"This will lead to the 'school' conversation proper(152,42)"	((!?qo)) Wo bist ((du1)) zur Schule gegangen / ((!?qo)) Auf welche Schule bist ((du1)) gegangen? / ((!?qo)) Welche Schule hast ((Du1)) besucht? / ((!?qo)) Wo hast ((Du1)) studiert? / ((!?qo)) Bist ((Du1)) an einer Universität? / ((!?qo)) Bist ((Du1)) an der Uni? / ((!?qo)) Hast ((Du1)) studiert?				20	
input	school_study_first	"User asks what HitchBOTT studied(64,74)"	((!?qo)) Was hast ((Du1)) studiert? / ((!?qo)) Was war ((Dein)) Hauptfach? / ((!?qo)) Was ist ((Dein)) Hauptfach? / ((!?qo)) Was hast ((du1)) in der Schule gemacht? / ((!?qo)) Studierst ((Du1)) noch? / ((!?qo)) was studierst ((Du1))				20	
input	sub_meaningoflife		((!?qo))  (Sinn_des_Lebens)?				20	
input	objective_whyexist		((!?qo)) Warum bist ((Du1) gebaut worden? / ((!?qo)) Warum hat man ((Dich)) gebaut? / ((!?qo)) Warum bist ((Du1)) hier? / ((!?qo)) zu welchem ((Ziel)) bist ((Du1)) gebaut worden? / ((!?qo)) Was ist ((dein)) ((Ziel))? / ((!?qo)) was ist ((dein)) Sinn und ((Ziel))? /				20	
input	objective_whyvictoria		((!?qo)) Warum München? / ((!?qo)) ((Was_ist)) in München? / ((!?qo)) Warum ~ München?				20	
input	objective_life		((!?qo)) Was möchtest ((du1)) im ((Leben)) erreichen? / ((!?qo)) was möchtest ((du1)) vom ((Leben))? / ((!?qo)) Was willst ((du1)) vom ((Leben)) / ((!?qo)) was ist ((Ziel)) deines ((Leben)) / ((was_möchtest_du)) vom Leben?				20	
input	base_question		((!?qo)) ((danach_fragen)) ((topic_list)) / ((!?qo)) ((topic_list))?			ask_$topic$	20	
input	base_opinion		((!?qo)) ((meinung_über)) ((topic_list))			opinion_$topic$	20	
input	base_question2		((!?qo)) ((danach_fragen)) ((topic))			ask_$t$	20	
input	base_opinion2		((!?qo)) ((opinion_on)) ((topic))			opinion_$t$	20	
input	base_privacy		((!?qo)) Nimmst ((du1)) das auf? / ((!?qo)) nimmst ((du1)) ((unser)) unterhaltung auf? / ((!?qo)) Nimmst ((Du1)) ((mich)) auf? / ((!?qo)) wird ((unser))e unterhaltung aufgenommen? /  ((!?qo)) speicherst ((du1)) das? / ((!?qo)) speicherst ((du1)) ((unser)) unterhaltung? /  ((!?qo)) Wird ((unser)) unterhaltung gespeichert? /				20	
input	base_destination	User asks where?	((!?qo))  Wohin möchtest ((Du1))?				20	
			((!?qo)) Wohin geht ((Dein))e Reise? / ((!?qo)) Wohin geht die Reise?				20	
			((!?qo)) ((where_to)) ((?HitchBOTT))?				20	
			((!?qo)) was ist das Ziel ((dein)) Reise? / ((!?qo))				20	
			((!?qo)) ((wo)) möchtest Du hin? / ((!?qo)) ((wo)) fährst ((du1)) (?hin)? /				20	
			((!?qo)) ((wo)) musst ((du1)) (?hin)? / ((!?qo)) ((wo)) sollst ((du1)) (?hin)?				20	
input	base_name		((!?qo)) wie heißt ((Du1))? / ((!?qo)) wie ist ((dein)) Name? / ((!?)) Hast ((Du1)) einen Namen? / ((!?qo)) wie darf ich ((dich)) nennen? / ((!?qo)) wie nennt man ((dich))? / ((!?qo)) wie nennen die ((leute)) dich? / ((!?qo)) hast ((Du1)) überhaupt (?ei)nen Namen? / ((!?qo)) wie dürfen wir ((dich)) nennen? / ((!?qo)) wie lautet ((dein)) Name? / ((!?qo)) erzähl ((mir1)) deinen Namen (?bitte) / ((!?qo)) sag ((mir1)) deinen Namen (?bitte)				20	
